Date,Asset Number,Client,Price,Inspection Type,Task,Start,Finish
2019-11-06,Assembly crane #14,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-06,2019-11-13
2019-11-06,Welding shop E1 crane,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-06,2019-11-13
2019-11-07,Assembly H-4 crane,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-07,2019-11-14
2019-11-07,5Ton Paint Shop North,Carlson,"$1,200",Quarterly,Carlson,2019-11-07,2019-11-14
2019-11-07,"25-Ton P&H Bridge Crane, 15-Ton P&H Bridge Crane, Jib",AM Castle,"$1,200",Quarterly,AM Castle,2019-11-07,2019-11-14
2019-11-08,Bridge Crane CM-2Ton.,New West Metals,"$1,200",Quarterly,New West Metals,2019-11-08,2019-11-15
2019-11-08,50937846,CP478,"$1,200",Quarterly,CP478,2019-11-08,2019-11-15
2019-11-08,Paint Dept North Fixed Hoist,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-08,2019-11-15
2019-11-08,Assembly I-1 Jib,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-08,2019-11-15
2019-11-08,"Assembly I-1 crane 15
",Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-08,2019-11-15
2019-11-08,Assembly H-5 crane 12,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-08,2019-11-15
2019-11-08,Bolts and Belting H-6,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-08,2019-11-15
2019-11-08,Electrical H-2 crane 11,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-08,2019-11-15
2019-11-12,50350228,CP478,"$1,200",Quarterly,CP478,2019-11-12,2019-11-19
2019-11-13,50381028,CP478,"$1,200",Quarterly,CP478,2019-11-13,2019-11-20
2019-11-13,Main Shop Crane #3,Supreme Steel,"$1,200",Quarterly,Supreme Steel,2019-11-13,2019-11-20
2019-11-14,50350248,CP478,"$1,200",Quarterly,CP478,2019-11-14,2019-11-21
2019-11-15,Pouring station,Amsted,"$1,200",Quarterly,Amsted,2019-11-15,2019-11-22
2019-11-15,50381029,CP478,"$1,200",Quarterly,CP478,2019-11-15,2019-11-22
2019-11-16,50350382,CP478,"$1,200",Quarterly,CP478,2019-11-16,2019-11-23
2019-11-16,Dynex Jib,Amsted,"$1,200",Quarterly,Amsted,2019-11-16,2019-11-23
2019-11-16,Monorail #1,Amsted,"$1,200",Quarterly,Amsted,2019-11-16,2019-11-23
2019-11-16,50350247,CP478,"$1,200",Quarterly,CP478,2019-11-16,2019-11-23
2019-11-16,50381031,CP478,"$1,200",Quarterly,CP478,2019-11-16,2019-11-23
2019-11-16,P&H 25-Ton,Carte,"$1,200",Quarterly,Carte,2019-11-16,2019-11-23
2019-11-16,50935275,CP478,"$1,200",Quarterly,CP478,2019-11-16,2019-11-23
2019-11-17,50350295,CP478,"$1,200",Quarterly,CP478,2019-11-17,2019-11-24
2019-11-17,Service for Hwg#1,Amsted,"$1,200",Quarterly,Amsted,2019-11-17,2019-11-24
2019-11-17,Jib back of pouring station,Amsted,"$1,200",Quarterly,Amsted,2019-11-17,2019-11-24
2019-11-17,Service crane for hwg#3,Amsted,"$1,200",Quarterly,Amsted,2019-11-17,2019-11-24
2019-11-17,Service crane for hwg#2,Amsted,"$1,200",Quarterly,Amsted,2019-11-17,2019-11-24
2019-11-17,"Bertram
",Amsted,"$1,200",Quarterly,Amsted,2019-11-17,2019-11-24
2019-11-17,50605479,CP478,"$1,200",Quarterly,CP478,2019-11-17,2019-11-24
2019-11-20,Jib by fused silica spray tanks,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,Monorail #2,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,Tube mixer jib,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,Corebaker jib crane,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,Corebaker crane,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,Stamper entrance,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,Tube crane,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-20,1B Entrance,Amsted,"$1,200",Quarterly,Amsted,2019-11-20,2019-11-27
2019-11-21,50350390,CP478,"$1,200",Quarterly,CP478,2019-11-21,2019-11-28
2019-11-21,Behind normalizing furnace,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
2019-11-21,Monorail #4,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
2019-11-21,2 Monorail above hubcutters,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
2019-11-21,2 manual chain hoists on one Monorail above hubcutters,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
2019-11-21,Between quencher 2 and 5,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
2019-11-21,50936988,CP478,"$1,200",Quarterly,CP478,2019-11-21,2019-11-28
2019-11-21,PU-8196,CN150,"$1,200",Quarterly,CN150,2019-11-21,2019-11-28
2019-11-21,Jib crane @ machinist lathe,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
2019-11-21,2 ton jib crane middle of machine shop,Amsted,"$1,200",Quarterly,Amsted,2019-11-21,2019-11-28
